Country;Color code
TMN;7.727350325783334
TON;0.0
TSA;0.8157326635741909
TSS;3.5090175012589975
TTO;0.031947722974826676
TUN;0.027018811288501754
TUR;9.872228740934533
TUV;0.0
TZA;3.692497364995198
UGA;22.992891773282203
UKR;0.03617862242907074
UMC;1.0255888288085826
URY;0.014508296837590492
USA;0.046597663106837495
UZB;0.00034690717910643745
VCT;0.0
VEN;3.367970364157379
VGB;0.0
VIR;0.0
VNM;0.0
VUT;0.0
WLD;0.7634920723802033
WSM;0.0
XKX;0.0
YEM;6.381848519028465
ZAF;0.5097866975647803
ZMB;1.4455329297499782
ZWE;0.3100983749659293
